1610125095.289879;Aggregator started
1610125153.367363;m3-81;Data received on port 1234 from port 1234 with length 10
1610125153.371416;m3-83;Data received on port 1234 from port 1234 with length 10
1610125155.368075;m3-84;Sending broadcast
1610125155.376684;m3-85;Data received on port 1234 from port 1234 with length 10
1610125155.376991;m3-86;Data received on port 1234 from port 1234 with length 10
1610125155.377310;m3-82;Data received on port 1234 from port 1234 with length 10
1610125155.384092;m3-80;Data received on port 1234 from port 1234 with length 10
1610125155.387153;m3-87;Data received on port 1234 from port 1234 with length 10
1610125155.388963;m3-81;Data received on port 1234 from port 1234 with length 10
1610125155.391811;m3-88;Data received on port 1234 from port 1234 with length 10
1610125155.392190;m3-90;Data received on port 1234 from port 1234 with length 10
1610125155.396823;m3-83;Data received on port 1234 from port 1234 with length 10
1610125156.089443;m3-80;Sending broadcast
1610125156.110490;m3-84;Data received on port 1234 from port 1234 with length 10
1610125156.110800;m3-82;Data received on port 1234 from port 1234 with length 10
1610125156.111099;m3-89;Data received on port 1234 from port 1234 with length 10
1610125156.126990;m3-86;Data received on port 1234 from port 1234 with length 10
1610125156.754709;m3-87;Sending broadcast
1610125156.762161;m3-81;Data received on port 1234 from port 1234 with length 10
1610125156.762577;m3-84;Data received on port 1234 from port 1234 with length 10
1610125156.762784;m3-83;Data received on port 1234 from port 1234 with length 10
1610125156.763408;m3-90;Data received on port 1234 from port 1234 with length 10
1610125156.763600;m3-88;Data received on port 1234 from port 1234 with length 10
1610125156.769735;m3-80;Data received on port 1234 from port 1234 with length 10
1610125156.770043;m3-82;Data received on port 1234 from port 1234 with length 10
1610125156.770242;m3-89;Data received on port 1234 from port 1234 with length 10
1610125159.279040;m3-83;Sending broadcast
1610125159.290011;m3-87;Data received on port 1234 from port 1234 with length 10
1610125159.290489;m3-84;Data received on port 1234 from port 1234 with length 10
1610125159.296477;m3-90;Data received on port 1234 from port 1234 with length 10
1610125159.297945;m3-86;Data received on port 1234 from port 1234 with length 10
1610125159.733523;m3-82;Sending broadcast
1610125159.744612;m3-85;Data received on port 1234 from port 1234 with length 10
1610125159.744918;m3-86;Data received on port 1234 from port 1234 with length 10
1610125159.745117;m3-80;Data received on port 1234 from port 1234 with length 10
1610125159.758991;m3-88;Data received on port 1234 from port 1234 with length 10
1610125159.763569;m3-81;Data received on port 1234 from port 1234 with length 10
1610125159.763966;m3-84;Data received on port 1234 from port 1234 with length 10
1610125159.765263;m3-87;Data received on port 1234 from port 1234 with length 10
1610125159.775406;m3-90;Data received on port 1234 from port 1234 with length 10
1610125159.775712;m3-89;Data received on port 1234 from port 1234 with length 10
1610125160.033805;m3-88;Sending broadcast
1610125160.044476;m3-83;Data received on port 1234 from port 1234 with length 10
1610125160.044871;m3-80;Data received on port 1234 from port 1234 with length 10
1610125160.045075;m3-81;Data received on port 1234 from port 1234 with length 10
1610125160.045331;m3-90;Data received on port 1234 from port 1234 with length 10
1610125160.047681;m3-86;Data received on port 1234 from port 1234 with length 10
1610125160.049978;m3-89;Data received on port 1234 from port 1234 with length 10
1610125160.052883;m3-85;Data received on port 1234 from port 1234 with length 10
1610125160.486552;m3-86;Sending broadcast
1610125160.497374;m3-80;Data received on port 1234 from port 1234 with length 10
1610125160.498646;m3-82;Data received on port 1234 from port 1234 with length 10
1610125160.510927;m3-88;Data received on port 1234 from port 1234 with length 10
1610125160.515164;m3-84;Data received on port 1234 from port 1234 with length 10
1610125160.520777;m3-87;Data received on port 1234 from port 1234 with length 10
1610125160.575946;m3-81;Sending broadcast
1610125160.583638;m3-85;Data received on port 1234 from port 1234 with length 10
1610125160.583969;m3-80;Data received on port 1234 from port 1234 with length 10
1610125160.584281;m3-86;Data received on port 1234 from port 1234 with length 10
1610125160.585727;m3-83;Data received on port 1234 from port 1234 with length 10
1610125160.586630;m3-88;Data received on port 1234 from port 1234 with length 10
1610125160.592947;m3-84;Data received on port 1234 from port 1234 with length 10
1610125160.593587;m3-87;Data received on port 1234 from port 1234 with length 10
1610125160.594381;m3-90;Data received on port 1234 from port 1234 with length 10
1610125160.594668;m3-89;Data received on port 1234 from port 1234 with length 10
1610125160.941614;m3-90;Sending broadcast
1610125160.950813;m3-89;Data received on port 1234 from port 1234 with length 10
1610125160.951187;m3-88;Data received on port 1234 from port 1234 with length 10
1610125160.951663;m3-86;Data received on port 1234 from port 1234 with length 10
1610125160.951928;m3-87;Data received on port 1234 from port 1234 with length 10
1610125160.952102;m3-81;Data received on port 1234 from port 1234 with length 10
1610125160.958525;m3-84;Data received on port 1234 from port 1234 with length 10
1610125160.958835;m3-83;Data received on port 1234 from port 1234 with length 10
1610125160.973587;m3-82;Data received on port 1234 from port 1234 with length 10
1610125160.975737;m3-85;Data received on port 1234 from port 1234 with length 10
1610125160.983825;m3-80;Data received on port 1234 from port 1234 with length 10
1610125162.068111;m3-85;Sending broadcast
1610125162.077188;m3-80;Data received on port 1234 from port 1234 with length 10
1610125162.078112;m3-84;Data received on port 1234 from port 1234 with length 10
1610125162.078381;m3-86;Data received on port 1234 from port 1234 with length 10
1610125162.078648;m3-83;Data received on port 1234 from port 1234 with length 10
1610125162.078894;m3-81;Data received on port 1234 from port 1234 with length 10
1610125162.079653;m3-89;Data received on port 1234 from port 1234 with length 10
1610125162.085511;m3-88;Data received on port 1234 from port 1234 with length 10
1610125162.085950;m3-87;Data received on port 1234 from port 1234 with length 10
1610125162.098211;m3-82;Data received on port 1234 from port 1234 with length 10
1610125162.856263;m3-84;Sending broadcast
1610125162.867369;m3-83;Data received on port 1234 from port 1234 with length 10
1610125162.867769;m3-87;Data received on port 1234 from port 1234 with length 10
1610125162.868053;m3-81;Data received on port 1234 from port 1234 with length 10
1610125162.874537;m3-88;Data received on port 1234 from port 1234 with length 10
1610125162.875415;m3-90;Data received on port 1234 from port 1234 with length 10
1610125162.894393;m3-82;Data received on port 1234 from port 1234 with length 10
1610125162.896335;m3-80;Data received on port 1234 from port 1234 with length 10
1610125163.959257;m3-89;Sending broadcast
1610125164.009389;m3-82;Data received on port 1234 from port 1234 with length 10
1610125164.009832;m3-81;Data received on port 1234 from port 1234 with length 10
1610125164.010045;m3-88;Data received on port 1234 from port 1234 with length 10
1610125166.500110;m3-80;Sending broadcast
1610125166.510301;m3-87;Data received on port 1234 from port 1234 with length 10
1610125166.510892;m3-85;Data received on port 1234 from port 1234 with length 10
1610125166.511188;m3-84;Data received on port 1234 from port 1234 with length 10
1610125166.511372;m3-89;Data received on port 1234 from port 1234 with length 10
1610125166.511642;m3-81;Data received on port 1234 from port 1234 with length 10
1610125166.511810;m3-82;Data received on port 1234 from port 1234 with length 10
1610125166.511973;m3-83;Data received on port 1234 from port 1234 with length 10
1610125166.515883;m3-86;Data received on port 1234 from port 1234 with length 10
1610125166.517242;m3-88;Data received on port 1234 from port 1234 with length 10
1610125167.058960;m3-89;Sending broadcast
1610125167.069196;m3-87;Data received on port 1234 from port 1234 with length 10
1610125167.069705;m3-90;Data received on port 1234 from port 1234 with length 10
1610125167.070184;m3-88;Data received on port 1234 from port 1234 with length 10
1610125167.071049;m3-83;Data received on port 1234 from port 1234 with length 10
1610125167.077129;m3-80;Data received on port 1234 from port 1234 with length 10
1610125167.081781;m3-82;Data received on port 1234 from port 1234 with length 10
1610125169.123430;m3-82;Sending broadcast
1610125169.134088;m3-85;Data received on port 1234 from port 1234 with length 10
1610125169.134513;m3-84;Data received on port 1234 from port 1234 with length 10
1610125169.134721;m3-80;Data received on port 1234 from port 1234 with length 10
1610125169.135356;m3-86;Data received on port 1234 from port 1234 with length 10
1610125169.144305;m3-83;Data received on port 1234 from port 1234 with length 10
1610125169.148942;m3-88;Data received on port 1234 from port 1234 with length 10
1610125169.151109;m3-87;Data received on port 1234 from port 1234 with length 10
1610125169.158768;m3-89;Data received on port 1234 from port 1234 with length 10
1610125169.165717;m3-90;Data received on port 1234 from port 1234 with length 10
1610125169.294106;m3-88;Sending broadcast
1610125169.299448;m3-85;Sending broadcast
1610125169.304197;m3-87;Data received on port 1234 from port 1234 with length 10
1610125169.304598;m3-82;Data received on port 1234 from port 1234 with length 10
1610125169.310729;m3-85;Data received on port 1234 from port 1234 with length 10
1610125169.311489;m3-90;Data received on port 1234 from port 1234 with length 10
1610125169.317371;m3-81;Data received on port 1234 from port 1234 with length 10
1610125169.326683;m3-84;Data received on port 1234 from port 1234 with length 10
1610125169.436967;m3-83;Data received on port 1234 from port 1234 with length 10
1610125169.437338;m3-90;Data received on port 1234 from port 1234 with length 10
1610125169.437883;m3-87;Data received on port 1234 from port 1234 with length 10
1610125169.438234;m3-82;Data received on port 1234 from port 1234 with length 10
1610125169.440834;m3-89;Data received on port 1234 from port 1234 with length 10
1610125169.445085;m3-81;Data received on port 1234 from port 1234 with length 10
1610125169.446978;m3-84;Data received on port 1234 from port 1234 with length 10
1610125169.467015;m3-80;Data received on port 1234 from port 1234 with length 10
1610125169.765761;m3-84;Sending broadcast
1610125169.776974;m3-88;Data received on port 1234 from port 1234 with length 10
1610125169.777360;m3-82;Data received on port 1234 from port 1234 with length 10
1610125169.777761;m3-83;Data received on port 1234 from port 1234 with length 10
1610125169.778136;m3-87;Data received on port 1234 from port 1234 with length 10
1610125169.779899;m3-81;Data received on port 1234 from port 1234 with length 10
1610125169.780291;m3-80;Data received on port 1234 from port 1234 with length 10
1610125169.782631;m3-86;Data received on port 1234 from port 1234 with length 10
1610125169.784532;m3-89;Data received on port 1234 from port 1234 with length 10
1610125169.785659;m3-90;Data received on port 1234 from port 1234 with length 10
1610125169.787924;m3-85;Data received on port 1234 from port 1234 with length 10
1610125171.189885;m3-90;Sending broadcast
1610125171.200560;m3-85;Data received on port 1234 from port 1234 with length 10
1610125171.200852;m3-86;Data received on port 1234 from port 1234 with length 10
1610125171.202178;m3-84;Data received on port 1234 from port 1234 with length 10
1610125171.206880;m3-89;Data received on port 1234 from port 1234 with length 10
1610125171.208944;m3-82;Data received on port 1234 from port 1234 with length 10
1610125171.233275;m3-80;Data received on port 1234 from port 1234 with length 10
1610125171.631144;m3-80;Sending broadcast
1610125171.640428;m3-89;Data received on port 1234 from port 1234 with length 10
1610125171.642452;m3-82;Data received on port 1234 from port 1234 with length 10
1610125171.670255;m3-81;Data received on port 1234 from port 1234 with length 10
1610125171.672148;m3-88;Data received on port 1234 from port 1234 with length 10
1610125171.673999;m3-87;Data received on port 1234 from port 1234 with length 10
1610125171.674454;m3-83;Data received on port 1234 from port 1234 with length 10
1610125173.851680;m3-87;Sending broadcast
1610125173.861306;m3-82;Data received on port 1234 from port 1234 with length 10
1610125173.861850;m3-88;Data received on port 1234 from port 1234 with length 10
1610125173.863338;m3-90;Data received on port 1234 from port 1234 with length 10
1610125173.868156;m3-84;Data received on port 1234 from port 1234 with length 10
1610125173.868989;m3-89;Data received on port 1234 from port 1234 with length 10
1610125173.869284;m3-86;Data received on port 1234 from port 1234 with length 10
1610125173.869719;m3-85;Data received on port 1234 from port 1234 with length 10
1610125173.879033;m3-80;Data received on port 1234 from port 1234 with length 10
1610125173.879766;m3-81;Data received on port 1234 from port 1234 with length 10
1610125173.894226;m3-83;Data received on port 1234 from port 1234 with length 10
1610125174.756796;m3-86;Sending broadcast
1610125174.767032;m3-82;Data received on port 1234 from port 1234 with length 10
1610125174.768260;m3-84;Data received on port 1234 from port 1234 with length 10
1610125174.768662;m3-83;Data received on port 1234 from port 1234 with length 10
1610125174.775690;m3-85;Data received on port 1234 from port 1234 with length 10
1610125174.777862;m3-81;Data received on port 1234 from port 1234 with length 10
1610125174.779607;m3-88;Data received on port 1234 from port 1234 with length 10
1610125174.797484;m3-90;Data received on port 1234 from port 1234 with length 10
1610125174.935913;m3-81;Sending broadcast
1610125174.945797;m3-85;Data received on port 1234 from port 1234 with length 10
1610125174.948121;m3-87;Data received on port 1234 from port 1234 with length 10
1610125174.952352;m3-90;Data received on port 1234 from port 1234 with length 10
1610125174.952922;m3-82;Data received on port 1234 from port 1234 with length 10
1610125174.967819;m3-86;Data received on port 1234 from port 1234 with length 10
1610125174.970131;m3-89;Data received on port 1234 from port 1234 with length 10
1610125175.639454;m3-83;Sending broadcast
1610125175.650094;m3-89;Data received on port 1234 from port 1234 with length 10
1610125175.650554;m3-86;Data received on port 1234 from port 1234 with length 10
1610125175.650766;m3-87;Data received on port 1234 from port 1234 with length 10
1610125175.669688;m3-81;Data received on port 1234 from port 1234 with length 10
1610125175.671721;m3-88;Data received on port 1234 from port 1234 with length 10
1610125175.682519;m3-82;Data received on port 1234 from port 1234 with length 10
1610125178.140464;m3-90;Sending broadcast
1610125178.150949;m3-89;Data received on port 1234 from port 1234 with length 10
1610125178.151325;m3-81;Data received on port 1234 from port 1234 with length 10
1610125178.151541;m3-88;Data received on port 1234 from port 1234 with length 10
1610125178.152188;m3-87;Data received on port 1234 from port 1234 with length 10
1610125178.152450;m3-83;Data received on port 1234 from port 1234 with length 10
1610125178.157822;m3-82;Data received on port 1234 from port 1234 with length 10
1610125178.158188;m3-86;Data received on port 1234 from port 1234 with length 10
1610125179.578546;m3-83;Sending broadcast
1610125179.589290;m3-80;Data received on port 1234 from port 1234 with length 10
1610125179.589877;m3-84;Data received on port 1234 from port 1234 with length 10
1610125179.590212;m3-85;Data received on port 1234 from port 1234 with length 10
1610125179.609203;m3-86;Data received on port 1234 from port 1234 with length 10
1610125179.611891;m3-82;Data received on port 1234 from port 1234 with length 10
1610125179.612299;m3-89;Data received on port 1234 from port 1234 with length 10
1610125179.617365;m3-90;Data received on port 1234 from port 1234 with length 10
1610125179.621235;m3-81;Data received on port 1234 from port 1234 with length 10
1610125180.443456;m3-88;Sending broadcast
1610125180.452204;m3-86;Data received on port 1234 from port 1234 with length 10
1610125180.453078;m3-80;Data received on port 1234 from port 1234 with length 10
1610125180.455134;m3-90;Data received on port 1234 from port 1234 with length 10
1610125180.455443;m3-82;Data received on port 1234 from port 1234 with length 10
1610125180.455641;m3-89;Data received on port 1234 from port 1234 with length 10
1610125180.462108;m3-81;Data received on port 1234 from port 1234 with length 10
1610125180.462519;m3-87;Data received on port 1234 from port 1234 with length 10
1610125180.472883;m3-83;Data received on port 1234 from port 1234 with length 10
1610125180.860065;m3-80;Sending broadcast
1610125180.869905;m3-84;Data received on port 1234 from port 1234 with length 10
1610125180.870327;m3-86;Data received on port 1234 from port 1234 with length 10
1610125180.870897;m3-82;Data received on port 1234 from port 1234 with length 10
1610125180.871102;m3-83;Data received on port 1234 from port 1234 with length 10
1610125180.871372;m3-85;Data received on port 1234 from port 1234 with length 10
1610125180.871537;m3-88;Data received on port 1234 from port 1234 with length 10
1610125180.872665;m3-89;Data received on port 1234 from port 1234 with length 10
1610125180.878737;m3-87;Data received on port 1234 from port 1234 with length 10
1610125180.879045;m3-81;Data received on port 1234 from port 1234 with length 10
1610125181.686042;m3-84;Sending broadcast
1610125181.686397;m3-86;Sending broadcast
1610125181.696882;m3-88;Data received on port 1234 from port 1234 with length 10
1610125181.697251;m3-87;Data received on port 1234 from port 1234 with length 10
1610125181.697453;m3-80;Data received on port 1234 from port 1234 with length 10
1610125181.697749;m3-89;Data received on port 1234 from port 1234 with length 10
1610125181.698091;m3-85;Data received on port 1234 from port 1234 with length 10
1610125181.703475;m3-82;Data received on port 1234 from port 1234 with length 10
1610125181.703841;m3-90;Data received on port 1234 from port 1234 with length 10
1610125181.704041;m3-83;Data received on port 1234 from port 1234 with length 10
1610125181.705481;m3-81;Data received on port 1234 from port 1234 with length 10
1610125183.368144;m3-85;Sending broadcast
1610125183.377961;m3-88;Data received on port 1234 from port 1234 with length 10
1610125183.378331;m3-82;Data received on port 1234 from port 1234 with length 10
1610125183.378952;m3-87;Data received on port 1234 from port 1234 with length 10
1610125183.379213;m3-83;Data received on port 1234 from port 1234 with length 10
1610125183.379460;m3-81;Data received on port 1234 from port 1234 with length 10
1610125183.385561;m3-90;Data received on port 1234 from port 1234 with length 10
1610125183.386491;m3-86;Data received on port 1234 from port 1234 with length 10
1610125183.394651;m3-80;Data received on port 1234 from port 1234 with length 10
1610125183.770603;m3-89;Sending broadcast
1610125183.778516;m3-84;Data received on port 1234 from port 1234 with length 10
1610125183.778898;m3-83;Data received on port 1234 from port 1234 with length 10
1610125183.780112;m3-87;Data received on port 1234 from port 1234 with length 10
1610125183.780419;m3-81;Data received on port 1234 from port 1234 with length 10
1610125183.780709;m3-80;Data received on port 1234 from port 1234 with length 10
1610125183.785854;m3-88;Data received on port 1234 from port 1234 with length 10
1610125183.786442;m3-90;Data received on port 1234 from port 1234 with length 10
1610125183.786921;m3-86;Data received on port 1234 from port 1234 with length 10
1610125183.809250;m3-85;Data received on port 1234 from port 1234 with length 10
1610125184.862503;m3-87;Sending broadcast
1610125184.872358;m3-90;Data received on port 1234 from port 1234 with length 10
1610125184.872650;m3-82;Data received on port 1234 from port 1234 with length 10
1610125184.874008;m3-86;Data received on port 1234 from port 1234 with length 10
1610125184.878796;m3-88;Data received on port 1234 from port 1234 with length 10
1610125184.879697;m3-84;Data received on port 1234 from port 1234 with length 10
1610125184.879916;m3-81;Data received on port 1234 from port 1234 with length 10
1610125184.891909;m3-83;Data received on port 1234 from port 1234 with length 10
1610125184.904429;m3-85;Data received on port 1234 from port 1234 with length 10
1610125186.266764;m3-81;Sending broadcast
1610125186.274474;m3-84;Data received on port 1234 from port 1234 with length 10
1610125186.274857;m3-87;Data received on port 1234 from port 1234 with length 10
1610125186.275531;m3-85;Data received on port 1234 from port 1234 with length 10
1610125186.275724;m3-82;Data received on port 1234 from port 1234 with length 10
1610125186.275972;m3-83;Data received on port 1234 from port 1234 with length 10
1610125186.276139;m3-88;Data received on port 1234 from port 1234 with length 10
1610125186.280813;m3-86;Data received on port 1234 from port 1234 with length 10
1610125186.281123;m3-89;Data received on port 1234 from port 1234 with length 10
1610125186.284429;m3-80;Data received on port 1234 from port 1234 with length 10
1610125186.492595;m3-82;Sending broadcast
1610125186.503493;m3-81;Data received on port 1234 from port 1234 with length 10
1610125186.503859;m3-84;Data received on port 1234 from port 1234 with length 10
1610125186.504718;m3-83;Data received on port 1234 from port 1234 with length 10
1610125186.504990;m3-86;Data received on port 1234 from port 1234 with length 10
1610125186.511059;m3-87;Data received on port 1234 from port 1234 with length 10
1610125186.511430;m3-90;Data received on port 1234 from port 1234 with length 10
1610125186.513249;m3-88;Data received on port 1234 from port 1234 with length 10
1610125187.255107;m3-88;Sending broadcast
1610125187.264440;m3-90;Data received on port 1234 from port 1234 with length 10
1610125187.264748;m3-82;Data received on port 1234 from port 1234 with length 10
1610125187.265043;m3-84;Data received on port 1234 from port 1234 with length 10
1610125187.265229;m3-85;Data received on port 1234 from port 1234 with length 10
1610125187.265397;m3-87;Data received on port 1234 from port 1234 with length 10
1610125187.265559;m3-81;Data received on port 1234 from port 1234 with length 10
1610125187.271851;m3-83;Data received on port 1234 from port 1234 with length 10
1610125187.272720;m3-80;Data received on port 1234 from port 1234 with length 10
1610125187.279929;m3-86;Data received on port 1234 from port 1234 with length 10
1610125187.282753;m3-89;Data received on port 1234 from port 1234 with length 10
1610125189.049490;m3-90;Sending broadcast
1610125189.060473;m3-87;Data received on port 1234 from port 1234 with length 10
1610125189.060767;m3-88;Data received on port 1234 from port 1234 with length 10
1610125189.061093;m3-84;Data received on port 1234 from port 1234 with length 10
1610125189.061364;m3-89;Data received on port 1234 from port 1234 with length 10
1610125189.067361;m3-85;Data received on port 1234 from port 1234 with length 10
1610125189.068350;m3-81;Data received on port 1234 from port 1234 with length 10
1610125189.068650;m3-83;Data received on port 1234 from port 1234 with length 10
1610125189.071122;m3-82;Data received on port 1234 from port 1234 with length 10
1610125189.078247;m3-80;Data received on port 1234 from port 1234 with length 10
1610125190.547662;m3-86;Sending broadcast
1610125190.557313;m3-87;Data received on port 1234 from port 1234 with length 10
1610125190.557606;m3-88;Data received on port 1234 from port 1234 with length 10
1610125190.557918;m3-80;Data received on port 1234 from port 1234 with length 10
1610125190.558117;m3-81;Data received on port 1234 from port 1234 with length 10
1610125190.558408;m3-82;Data received on port 1234 from port 1234 with length 10
1610125190.559893;m3-84;Data received on port 1234 from port 1234 with length 10
1610125190.564700;m3-83;Data received on port 1234 from port 1234 with length 10
1610125190.570094;m3-89;Data received on port 1234 from port 1234 with length 10
1610125190.589716;m3-85;Data received on port 1234 from port 1234 with length 10
1610125190.721138;m3-87;Sending broadcast
1610125190.732931;m3-90;Data received on port 1234 from port 1234 with length 10
1610125190.742112;m3-89;Data received on port 1234 from port 1234 with length 10
1610125190.744677;m3-80;Data received on port 1234 from port 1234 with length 10
1610125190.761269;m3-84;Data received on port 1234 from port 1234 with length 10
1610125190.761576;m3-85;Data received on port 1234 from port 1234 with length 10
1610125190.761838;m3-81;Data received on port 1234 from port 1234 with length 10
1610125191.003366;m3-82;Sending broadcast
1610125191.013285;m3-86;Data received on port 1234 from port 1234 with length 10
1610125191.013714;m3-81;Data received on port 1234 from port 1234 with length 10
1610125191.014741;m3-85;Data received on port 1234 from port 1234 with length 10
1610125191.015877;m3-84;Data received on port 1234 from port 1234 with length 10
1610125191.016153;m3-83;Data received on port 1234 from port 1234 with length 10
1610125191.023894;m3-87;Data received on port 1234 from port 1234 with length 10
1610125191.041008;m3-80;Data received on port 1234 from port 1234 with length 10
1610125193.085318;m3-81;Sending broadcast
1610125193.094775;m3-83;Data received on port 1234 from port 1234 with length 10
1610125193.095183;m3-89;Data received on port 1234 from port 1234 with length 10
1610125193.110122;m3-82;Data received on port 1234 from port 1234 with length 10
1610125193.119898;m3-84;Data received on port 1234 from port 1234 with length 10
1610125193.120193;m3-80;Data received on port 1234 from port 1234 with length 10
1610125193.122503;m3-85;Data received on port 1234 from port 1234 with length 10
1610125193.122811;m3-88;Data received on port 1234 from port 1234 with length 10
1610125193.124863;m3-90;Data received on port 1234 from port 1234 with length 10
1610125194.719642;m3-80;Sending broadcast
1610125194.730721;m3-85;Data received on port 1234 from port 1234 with length 10
1610125194.731032;m3-86;Data received on port 1234 from port 1234 with length 10
1610125194.731234;m3-82;Data received on port 1234 from port 1234 with length 10
1610125194.731412;m3-83;Data received on port 1234 from port 1234 with length 10
1610125194.731672;m3-87;Data received on port 1234 from port 1234 with length 10
1610125194.740837;m3-88;Data received on port 1234 from port 1234 with length 10
1610125194.745080;m3-84;Data received on port 1234 from port 1234 with length 10
1610125194.748232;m3-89;Data received on port 1234 from port 1234 with length 10
1610125194.868469;m3-83;Sending broadcast
1610125194.877310;m3-80;Data received on port 1234 from port 1234 with length 10
1610125194.880073;m3-84;Data received on port 1234 from port 1234 with length 10
1610125194.880475;m3-87;Data received on port 1234 from port 1234 with length 10
1610125194.884890;m3-89;Data received on port 1234 from port 1234 with length 10
1610125194.885292;m3-85;Data received on port 1234 from port 1234 with length 10
1610125194.887595;m3-86;Data received on port 1234 from port 1234 with length 10
1610125194.905439;m3-90;Data received on port 1234 from port 1234 with length 10
1610125195.119183;m3-89;Sending broadcast
1610125195.129900;m3-90;Data received on port 1234 from port 1234 with length 10
1610125195.130208;m3-82;Data received on port 1234 from port 1234 with length 10
1610125195.130570;m3-88;Data received on port 1234 from port 1234 with length 10
1610125195.136105;m3-83;Data received on port 1234 from port 1234 with length 10
1610125195.136476;m3-84;Data received on port 1234 from port 1234 with length 10
1610125195.136697;m3-81;Data received on port 1234 from port 1234 with length 10
1610125195.137164;m3-87;Data received on port 1234 from port 1234 with length 10
1610125196.217088;m3-84;Sending broadcast
1610125196.224217;m3-80;Data received on port 1234 from port 1234 with length 10
1610125196.224589;m3-89;Data received on port 1234 from port 1234 with length 10
1610125196.224861;m3-86;Data received on port 1234 from port 1234 with length 10
1610125196.227361;m3-87;Data received on port 1234 from port 1234 with length 10
1610125196.227669;m3-83;Data received on port 1234 from port 1234 with length 10
1610125196.227984;m3-81;Data received on port 1234 from port 1234 with length 10
1610125196.230216;m3-85;Data received on port 1234 from port 1234 with length 10
1610125196.234567;m3-90;Data received on port 1234 from port 1234 with length 10
1610125196.234937;m3-88;Data received on port 1234 from port 1234 with length 10
1610125196.298051;m3-85;Sending broadcast
1610125196.307900;m3-86;Data received on port 1234 from port 1234 with length 10
1610125196.308976;m3-82;Data received on port 1234 from port 1234 with length 10
1610125196.309200;m3-83;Data received on port 1234 from port 1234 with length 10
1610125196.309460;m3-87;Data received on port 1234 from port 1234 with length 10
1610125196.309800;m3-80;Data received on port 1234 from port 1234 with length 10
1610125196.310019;m3-88;Data received on port 1234 from port 1234 with length 10
1610125196.310270;m3-81;Data received on port 1234 from port 1234 with length 10
1610125196.315811;m3-90;Data received on port 1234 from port 1234 with length 10
1610125196.316141;m3-89;Data received on port 1234 from port 1234 with length 10
1610125196.317549;m3-84;Data received on port 1234 from port 1234 with length 10
1610125197.589513;m3-80;Sending broadcast
1610125197.604987;m3-86;Data received on port 1234 from port 1234 with length 10
1610125197.608076;m3-82;Data received on port 1234 from port 1234 with length 10
1610125197.609077;m3-88;Data received on port 1234 from port 1234 with length 10
1610125197.620120;m3-85;Data received on port 1234 from port 1234 with length 10
1610125197.631780;m3-89;Data received on port 1234 from port 1234 with length 10
1610125197.632183;m3-87;Data received on port 1234 from port 1234 with length 10
1610125198.883822;m3-88;Sending broadcast
1610125198.895074;m3-89;Data received on port 1234 from port 1234 with length 10
1610125198.902674;m3-82;Data received on port 1234 from port 1234 with length 10
1610125198.904527;m3-90;Data received on port 1234 from port 1234 with length 10
1610125198.914011;m3-83;Data received on port 1234 from port 1234 with length 10
1610125199.137470;m3-86;Sending broadcast
1610125199.146908;m3-84;Data received on port 1234 from port 1234 with length 10
1610125199.147632;m3-85;Data received on port 1234 from port 1234 with length 10
1610125199.147858;m3-83;Data received on port 1234 from port 1234 with length 10
1610125199.148588;m3-81;Data received on port 1234 from port 1234 with length 10
1610125199.148845;m3-90;Data received on port 1234 from port 1234 with length 10
1610125199.150552;m3-80;Data received on port 1234 from port 1234 with length 10
1610125199.154068;m3-88;Data received on port 1234 from port 1234 with length 10
1610125199.169663;m3-82;Data received on port 1234 from port 1234 with length 10
1610125199.179386;m3-87;Data received on port 1234 from port 1234 with length 10
1610125199.366971;m3-84;Sending broadcast
1610125199.376784;m3-87;Data received on port 1234 from port 1234 with length 10
1610125199.377155;m3-80;Data received on port 1234 from port 1234 with length 10
1610125199.377429;m3-82;Data received on port 1234 from port 1234 with length 10
1610125199.377610;m3-89;Data received on port 1234 from port 1234 with length 10
1610125199.377894;m3-85;Data received on port 1234 from port 1234 with length 10
1610125199.378062;m3-86;Data received on port 1234 from port 1234 with length 10
1610125199.378222;m3-81;Data received on port 1234 from port 1234 with length 10
1610125199.379045;m3-83;Data received on port 1234 from port 1234 with length 10
1610125199.386087;m3-90;Data received on port 1234 from port 1234 with length 10
1610125199.386447;m3-88;Data received on port 1234 from port 1234 with length 10
1610125199.669995;m3-83;Sending broadcast
1610125199.679926;m3-84;Data received on port 1234 from port 1234 with length 10
1610125199.680238;m3-85;Data received on port 1234 from port 1234 with length 10
1610125199.680436;m3-80;Data received on port 1234 from port 1234 with length 10
1610125199.686879;m3-89;Data received on port 1234 from port 1234 with length 10
1610125199.687278;m3-86;Data received on port 1234 from port 1234 with length 10
1610125199.712475;m3-87;Data received on port 1234 from port 1234 with length 10
1610125200.872494;m3-90;Sending broadcast
1610125200.881112;m3-88;Data received on port 1234 from port 1234 with length 10
1610125200.881489;m3-84;Data received on port 1234 from port 1234 with length 10
1610125200.882164;m3-82;Data received on port 1234 from port 1234 with length 10
1610125200.889008;m3-87;Data received on port 1234 from port 1234 with length 10
1610125200.889317;m3-83;Data received on port 1234 from port 1234 with length 10
1610125200.900689;m3-85;Data received on port 1234 from port 1234 with length 10
1610125200.900986;m3-81;Data received on port 1234 from port 1234 with length 10
1610125201.166014;m3-81;Sending broadcast
1610125201.174695;m3-88;Data received on port 1234 from port 1234 with length 10
